hotel_id,hotel_name,cty,gugun,emd,addr,road_addr,region,market,결정 등급,객실수,호텔규모,업태구분명,속성정보,lat,lng
101,아르반 호텔,부산광역시,부산진구,부전동,부산광역시 부산진구 부전동 517-60,부산 부산진구 중앙대로691번길 32,부산,국내,미등급,94.0,100개 미만,숙박업 기타,분류,35.154689032514,129.05724278339
102,솔라리아 니시테츠 부산,부산광역시,부산진구,부전동,부산광역시 부산진구 부전동 233-16,부산 부산진구 서면로 20,부산,국내,미등급,203.0,200개 이상,일반호텔,분류,35.1523224768625,129.058176948963
104,부산 비즈니스 호텔,부산광역시,부산진구,부전동,부산광역시 부산진구 부전동 512-4,부산 부산진구 부전로 67,부산,국내,3성,233.0,200개 이상,관광호텔업,분류,35.1561122699992,129.054528292776
105,스탠포드 인 부산,부산광역시,중구,남포동,부산광역시 중구 남포동 5가 57-1,부산 중구 구덕로 53,부산,국내,3성,132.0,200개 미만,관광호텔업,분류,35.0978234452324,129.029942306445
106,크라운 하버호텔 부산,부산광역시,중구,중앙동,부산광역시 중구 중앙동 4가 83-1,부산 중구 중앙대로 114,부산,국내,미등급,500.0,200개 이상,일반호텔,분류,35.1075544656556,129.036819610921
107,라마다 앙코르 바이 윈덤 부산역,부산광역시,동구,초량동,부산광역시 동구 초량동 1204-1,부산 동구 초량동 중앙대로196번길 10,부산,국내,미등급,446.0,200개 이상,일반호텔,분류,35.1142584822657,129.04033270974
108,센텀 프리미어 호텔,부산광역시,해운대구,우동,부산광역시 해운대구 우동 1521,부산 해운대구 센텀1로 17,부산,국내,미등급,462.0,200개 이상,일반호텔,분류,35.1669376382204,129.131595073229
112,베니키아 호텔 해운대,부산광역시,해운대구,중동,부산광역시 해운대구 중동 1398-23,부산 해운대구 해운대해변로 317,부산,국내,3성,166.0,200개 미만,관광호텔업,분류,35.1622634178643,129.164814793738
114,마리안느호텔,부산광역시,해운대구,중동,부산광역시 해운대구 중동 1400-24,부산 해운대구 해운대해변로 310,부산,국내,3성,127.0,200개 미만,관광호텔업,분류,35.16143991876719,129.16461519701
115,베스트웨스턴 해운대 호텔,부산광역시,해운대구,중동,부산광역시 해운대구 중동 1391-42,부산 해운대구 구남로 42,부산,국내,미등급,134.0,200개 미만,일반호텔,분류,35.1604350607438,129.161179100749
117,페어필드 바이 메리어트 부산,부산광역시,해운대구,중동,부산광역시 해운대구 중동 1400-60,부산 해운대구 해운대해변로 314,부산,국내,3성,225.0,200개 이상,관광호텔업,분류,35.1616481346247,129.16485927535
119,이비스 버젯 앰배서더 부산 해운대,부산광역시,해운대구,우동,부산광역시 해운대구 우동 651-1,부산 해운대구 해운대해변로209번길 8,부산,국내,2성,178.0,200개 미만,관광호텔업,분류,35.159078472916,129.154488868817
120,이비스 앰배서더 부산 해운대,부산광역시,해운대구,우동,부산광역시 해운대구 우동 629-3,부산 해운대구 해운대해변로237번길 12,부산,국내,미등급,237.0,200개 이상,관광호텔,분류,35.1599218718628,129.157959627703
121,라발스 호텔 부산,부산광역시,영도구,봉래동,부산광역시 영도구 봉래동 1가 29,부산 영도구 봉래나루로 82,부산,국내,미등급,380.0,200개 이상,일반호텔,분류,35.0945243975235,129.039155954899
122,펠릭스 바이 STX 호텔 & 스위트,부산광역시,해운대구,우동,부산광역시 해운대구 우동 539-10,부산 해운대구 해운대로 620,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.1629774462048,129.15849160065
123,신라스테이 해운대,부산광역시,해운대구,우동,부산광역시 해운대구 우동 629-6,부산 해운대구 해운대로570번길 46,부산,국내,4성,407.0,200개 이상,관광호텔업,분류,35.1598034054018,129.158736352809
124,코오롱 씨클라우드 호텔,부산광역시,해운대구,중동,부산광역시 해운대구 중동 1392-100,부산 해운대구 해운대해변로 287,부산,국내,미등급,208.0,200개 이상,숙박업(생활),분류,35.1604174298802,129.16222733657
139,아바니 센트럴 부산,부산광역시,남구,문현동,부산광역시 남구 문현동 1227-2,부산 남구 전포대로 133,부산,국내,4성,281.0,200개 이상,관광호텔업,분류,35.1482777453333,129.065437098387
140,롯데 호텔 서울,서울특별시,중구,소공동,서울특별시 중구 소공동 1,서울 중구 을지로 30,서울,국내,5성,1015.0,200개 이상,관광호텔업,분류,37.5648098108631,126.981089534575
141,그랜드 하얏트 서울,서울특별시,용산구,한남동,서울특별시 용산구 한남동 747-7,서울 용산구 소월로 322,서울,국내,5성,615.0,200개 이상,관광호텔업,분류,37.5397629769285,126.996240829219
142,웨스틴 조선호텔 서울,서울특별시,중구,소공동,서울특별시 중구 소공동 87-1,서울 중구 소공로 106,서울,국내,5성,462.0,200개 이상,관광호텔업,분류,37.5644389782816,126.980099468802
143,더 플라자 서울 오토그래프 컬렉션,서울특별시,중구,태평로,서울특별시 중구 태평로 2가 23,서울 중구 소공로 119,서울,국내,5성,410.0,200개 이상,관광호텔업,분류,37.5646711366935,126.977913420541
147,포시즌스 호텔 서울,서울특별시,종로구,당주동,서울특별시 종로구 당주동 30,서울 종로구 새문안로 97,서울,국내,5성,317.0,200개 이상,관광호텔업,분류,37.5707662406581,126.975420617907
150,서울신라호텔,서울특별시,중구,장충동,서울특별시 중구 장충동 2가 202,서울 중구 동호로 249,서울,국내,5성,464.0,200개 이상,관광호텔업,분류,37.5567184328214,127.005728706384
153,밀레니엄 힐튼 서울,서울특별시,중구,남대문로,서울특별시 중구 남대문로 5가 395,서울 중구 소월로 50,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.55532686914034,126.9754866901112
170,호텔 농심,부산광역시,동래구,온천동,부산광역시 동래구 온천동 137-7,부산 동래구 금강공원로20번길 23,부산,국내,5성,240.0,200개 이상,관광호텔업,분류,35.2199300615091,129.082142815029
171,롯데 호텔 부산,부산광역시,부산진구,부전동,부산광역시 부산진구 부전동 503-15,부산 부산진구 가야대로 772,부산,국내,5성,650.0,200개 이상,관광호텔업,분류,35.156642373039,129.056002226069
189,히든 클리프 호텔 앤 네이처,서귀포시,-,상예동,제주 서귀포시 상예동 625,제주특별자치도 서귀포시 상예동 625,제주,국내,5성,250.0,200개 이상,관광호텔_제주,분류,33.2543646,126.4031521
190,스위트 호텔 제주,서귀포시,-,색달동,제주 서귀포시 색달동 2812-10,제주특별자치도 서귀포시 중문관광로72번길 67,제주,국내,미등급,90.0,100개 미만,관광호텔,분류,33.2490448197189,126.408428634179
191,제주 신라 호텔,서귀포시,-,색달동,제주 서귀포시 색달동 3039-3,제주특별자치도 서귀포시 중문관광로72번길 75,제주,국내,미등급,429.0,200개 이상,관광호텔,분류,33.2471639473767,126.407955114741
192,롯데호텔 제주,제주시,-,연동,제주 제주시 연동 2324-6,제주특별자치도 제주시 도령로 83,제주,국내,5성,500.0,200개 이상,관광호텔_제주,분류,33.4906945837847,126.486477218467
193,제주 씨에스 호텔 앤 리조트,서귀포시,-,중문동,제주 서귀포시 중문동 2563-1,제주특별자치도 서귀포시 중문관광로 198,제주,국내,미등급,30.0,100개 미만,관광호텔,분류,33.2425262560668,126.420878089828
194,제주 부영호텔 리조트,서귀포시,-,중문동,제주 서귀포시 중문동 2700-3,제주특별자치도 서귀포시 중문관광로 216,제주,국내,5성,187.0,200개 미만,관광호텔_제주,분류,33.2421273538009,126.42226882473
195,WE 호텔 제주,서귀포시,-,회수동,제주 서귀포시 회수동 30,제주특별자치도 서귀포시 1100로 453-95,제주,국내,5성,71.0,100개 미만,관광호텔_제주,분류,33.2861974015548,126.444080619289
196,그랜드 조선 제주,서귀포시,-,색달동,제주 서귀포시 색달동 2785,제주특별자치도 서귀포시 중문관광로72번길 60,제주,국내,미등급,248.0,200개 이상,관광호텔,분류,33.25235805009302,126.4080017520058
197,서귀포 칼 호텔,서귀포시,-,토평동,제주 서귀포시 토평동 486-3,제주특별자치도 서귀포시 칠십리로 242,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.24648461203475,126.5817618211748
198,여수 호텔 jcs,여수시,-,돌산읍,전라남도 여수시 돌산읍 평사리 1404-1,전남 여수시 돌산읍 돌산로 3169-14,전라,국내,미등급,151.0,200개 미만,관광호텔,분류,34.7038003806027,127.757605805693
199,소노캄 여수,여수시,-,수정동,전라남도 여수시 수정동 772,전남 여수시 오동도로 111,전라,국내,5성,311.0,200개 이상,관광호텔업,분류,34.7422890110514,127.75428291237
200,히든베이 호텔,여수시,-,신월동,전라남도 여수시 신월동 1804,전남 여수시 신월로 496-25,전라,국내,4성,131.0,200개 미만,관광호텔업,분류,34.7215224276055,127.699639500815
201,여수 유탑 마리나 호텔 리조트,여수시,-,수정동,전라남도 여수시 수정동 777-1,전남 여수시 오동도로 61-15,전라,국내,미등급,399.0,200개 이상,숙박업(생활),분류,34.7442830320685,127.750584045466
202,여수 베네치아 호텔&리조트,여수시,-,수정동,전라남도 여수시 수정동 774-4,전남 여수시 오동도로 61-13,전라,국내,미등급,343.0,200개 이상,숙박업(생활),분류,34.7457868621103,127.751762191906
203,여수 라마다프라자 호텔,여수시,-,돌산읍,전라남도 여수시 돌산읍 우두리 1048-10,전남 여수시 돌산읍 강남로 11,전라,국내,미등급,427.0,200개 이상,숙박업(생활),분류,34.7169604476228,127.7483579029
205,호텔 토마스 명동,서울특별시,중구,북창동,서울특별시 중구 북창동 12-1,서울 중구 세종대로16길 26,서울,국내,3성,123.0,200개 미만,관광호텔업,분류,37.5631081,126.9783441
206,트레블로지 명동 시티홀 호텔,서울특별시,중구,북창동,서울특별시 중구 북창동 17-1,서울 중구 세종대로16길 22,서울,국내,3성,129.0,200개 미만,관광호텔업,분류,37.5630741514274,126.978078349656
207,staz 스타즈 호텔 명동 1호점,서울특별시,중구,을지로,서울특별시 중구 을지로 3가 95-33,서울 중구 충무로9길 20,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.56698798355915,126.9911937544634
208,호텔 미드시티 명동,서울특별시,중구,다동,서울특별시 중구 다동 131,서울 중구 다동길 30,서울,국내,3성,140.0,200개 미만,관광호텔업,분류,37.5676431498128,126.980945743871
209,나인트리 호텔 명동,서울특별시,중구,충무로,서울특별시 중구 충무로 2가 63-2,서울 중구 명동10길 51,서울,국내,3성,144.0,200개 미만,관광호텔업,분류,37.5615886250724,126.986025451697
210,호텔 그레이스리 서울,서울특별시,중구,남대문로,서울특별시 중구 남대문로 4가 17-19,서울 중구 세종대로12길 12,서울,국내,3성,336.0,200개 이상,관광호텔업,분류,37.5615970265873,126.976968686944
211,뉴국제 호텔,서울특별시,중구,태평로,서울특별시 중구 태평로 1가 29-2,서울 중구 세종대로22길 12,서울,국내,3성,142.0,200개 미만,관광호텔업,분류,37.5679432954487,126.977976068462
212,호텔다움,울산광역시,중구,반구동,울산광역시 중구 반구동 22-6,울산 중구 번영로 538,울산,국내,2성,68.0,100개 미만,관광호텔업,분류,35.5669580842612,129.341524100378
213,롯데호텔 울산,울산광역시,남구,삼산동,울산광역시 남구 삼산동 1480-1,울산 남구 삼산로 282,울산,국내,미등급,미분류,200개 이상,미분류,미분류,35.53879169257699,129.3380492909015
214,울산 시티 호텔,울산광역시,남구,달동,울산광역시 남구 달동 1256-4,울산 남구 삼산로 246,울산,국내,미등급,90.0,100개 미만,관광호텔,분류,35.5382894852821,129.334127904739
215,해야관광호텔,울산광역시,남구,삼산동,울산광역시 남구 삼산동 216-6,울산 남구 삼산로395번길 11,울산,국내,미등급,미분류,200개 이상,미분류,미분류,35.5406889502952,129.351015308485
216,롯데시티호텔 울산,울산광역시,남구,달동,울산광역시 남구 달동 1248-1,울산 남구 삼산로 204,울산,국내,3성,349.0,200개 이상,관광호텔업,분류,35.5375358147425,129.329616011079
217,신라스테이 울산,울산광역시,남구,달동,울산광역시 남구 달동 1247-1,울산광역시 남구 삼산로 200,울산,국내,3성,335.0,200개 이상,관광호텔업,분류,35.5374199,129.3291229
218,판도라 호텔,울산광역시,남구,삼산동,울산광역시 남구 삼산동 1642-4,울산 남구 삼산로392번길 8,울산,국내,2성,70.0,100개 미만,관광호텔업,분류,35.5389014805603,129.349663821527
219,H호텔,울산광역시,남구,삼산동,울산광역시 남구 삼산동 1565-16,울산 남구 화합로178번길 7,울산,국내,1성,44.0,100개 미만,관광호텔업,분류,35.540671512542,129.340266851454
221,여우비 관광호텔,울산광역시,남구,삼산동,울산광역시 남구 삼산동 1640-6,울산 남구 산업로647번길 14,울산,국내,2성,105.0,200개 미만,관광호텔업,분류,35.5392895117956,129.349407699073
222,브라운도트 신천점,울산광역시,북구,신천동,울산광역시 북구 신천동 747,울산 북구 매산5로 14,울산,국내,미등급,미분류,200개 이상,미분류,미분류,35.63622896888259,129.3536202855938
223,토요코인 울산삼산동,울산광역시,남구,삼산동,울산광역시 남구 삼산동 1613-1,울산 남구 삼산로 308,울산,국내,2성,283.0,200개 이상,관광호텔업,분류,35.5396167758738,129.340719496915
224,에쉬튼(ASHTON) 호텔,울산광역시,남구,신정동,울산광역시 남구 신정동 645-10,울산 남구 중앙로213번길 8,울산,국내,미등급,미분류,200개 이상,미분류,미분류,35.53986322879435,129.3110819651066
225,주식회사 라한호텔(울산),울산광역시,동구,전하동,울산광역시 동구 전하동 283,울산 동구 방어진순환도로 871,울산,국내,미등급,미분류,200개 이상,미분류,미분류,35.5192899372501,129.430051196384
227,블루오션뷰,울산광역시,울주군,서생면,울산광역시 울주군 서생면 진하리 77-12,울산 울주군 서생면 진하해변길 74,울산,국내,미등급,미분류,200개 이상,미분류,미분류,35.3842843401401,129.3459233138389
228,그랜드플라자청주호텔,청주시,청원구,율량동,충청북도 청주시 청원구 율량동 500-3,충북 청주시 청원구 충청대로 114,충청,국내,5성,328.0,200개 이상,관광호텔업,분류,36.666717686617,127.495037086758
229,호텔나무,인천광역시,미추홀구,주안동,인천광역시 미추홀구 주안동 1004-6,인천 미추홀구 경인로435번길 7-8,인천,국내,미등급,미분류,200개 이상,미분류,미분류,37.45861826234398,126.6883875951669
230,뉴베라관광호텔,청주시,흥덕구,가경동,충청북도 청주시 흥덕구 가경동 1027,충북 청주시 흥덕구 풍년로193번길 32,충청,국내,미등급,미분류,200개 이상,미분류,미분류,36.6279645081852,127.43016108601
231,마크관광호텔,청주시,-,강서동,충청북도 청주시 강서동 471,충북 청주시 흥덕구 가로수로1164번길 41-34,충청,국내,미등급,미분류,200개 이상,미분류,미분류,36.62563783306088,127.4286478246192
232,세종스파텔,청주시,청원구,내수읍,충청북도 청주시 청원구 내수읍 초정리 334-24,충북 청주시 청원구 내수읍 신기초정로 699,충청,국내,1성,60.0,100개 미만,관광호텔업,분류,36.7190393946979,127.598639518461
233,관광호텔 뮤제오,청주시,-,강서동,충청북도 청주시 강서동 469,충북 청주시 흥덕구 가로수로1164번길 41-20,충청,국내,3성,59.0,100개 미만,관광호텔업,분류,36.6254131951132,127.428067355893
234,수안보 상록호텔,충주시,-,수안보면,충청북도 충주시 수안보면 온천리 292,충북 충주시 수안보면 주정산로 22,충청,국내,3성,101.0,200개 미만,관광호텔업,분류,36.84784873144494,127.9890484251124
235,수안보 파크관광호텔,충주시,-,수안보면,충청북도 충주시 수안보면 온천리 838-1,충북 충주시 수안보면 탑골1길 36,충청,국내,2성,111.0,200개 미만,관광호텔업,분류,36.8445362715069,127.9806903902498
236,THE조선호텔 수안보,충주시,-,수안보면,충청북도 충주시 수안보면 온천리 109-1,충북 충주시 수안보면 조산공원길 99,충청,국내,2성,103.0,200개 미만,관광호텔업,분류,36.845686441754,127.993984975238
237,리버호텔,충주시,-,봉방동,충청북도 충주시 봉방동 195-3,"충청북도 충주시 애향로 35, 봉방동, 충주",충청,국내,2성,65.0,100개 미만,관광호텔업,분류,36.974274,127.9140947
238,호텔 더 베이스(후렌드리호텔),제주시,-,연동,제주 제주시 연동 279-3,제주특별자치도 제주시 사장3길 33,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.48274960186887,126.4912496116482
239,청풍레이크호텔,제천시,-,청풍면,충청북도 제천시 청풍면 교리 99,충북 제천시 청풍면 청풍호로 1798,충청,국내,3성,180.0,200개 미만,관광호텔업,분류,37.01687847453753,128.1771166084704
240,레이크힐스호텔속리산,충청북도,보은군,속리산면,충청북도 보은군 속리산면 사내리 198-1,충북 보은군 속리산면 법주사로 305,충청,국내,2성,132.0,200개 미만,관광호텔업,분류,36.5345633448644,127.8255500015506
241,거성호텔,충청북도,음성군,맹동면,충청북도 음성군 맹동면 두성리 1471,충북 음성군 맹동면 장성로 107,충청,국내,3성,65.0,100개 미만,관광호텔업,분류,36.9051751364059,127.545743442611
242,단양관광호텔,충청북도,단양군,단양읍,충청북도 단양군 단양읍 상진리 264-2,충북 단양군 단양읍 삼봉로 31,충청,국내,3성,77.0,100개 미만,관광호텔업,분류,36.9820016191617,128.348517779925
243,부산 다이아몬드호텔,부산광역시,연제구,연산동,부산광역시 연제구 연산5동 1127-1,부산 연제구 월드컵대로164번길 26,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.187706156094,129.079336365169
244,시애틀비호텔,부산광역시,연제구,연산동,부산광역시 연제구 연산동 1255-4,부산 연제구 거제천로154번길 42,부산,국내,2성,55.0,100개 미만,관광호텔업,분류,35.1863005474574,129.078905378187
245,아르반시티 호텔,부산광역시,연제구,연산동,부산광역시 연제구 연산동 603-10,부산 연제구 반송로 20,부산,국내,3성,137.0,200개 미만,관광호텔업,분류,35.1869695202154,129.083279924096
246,더킹호텔,부산광역시,연제구,연산동,부산광역시 연제구 연산동 417-3,부산 연제구 과정로 161,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.1858991533907,129.1068671526531
247,호텔아쿠아펠리스,부산광역시,수영구,광안동,부산광역시 수영구 광안동 192-5,부산 수영구 광안해변로 225,부산,국내,3성,111.0,200개 미만,관광호텔업,분류,35.1540793784093,129.118805964445
248,유토피아관광호텔,부산광역시,수영구,광안동,부산광역시 수영구 광안동 50-3,부산 수영구 무학로9번길 133,부산,국내,2성,43.0,100개 미만,관광호텔업,분류,35.1674282548968,129.117097946689
249,돈비치관광호텔,부산광역시,수영구,광안동,부산광역시 수영구 광안동 199-7,부산 수영구 광남로 96,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.15035129455993,129.1151467044745
250,호메르스 호텔,부산광역시,수영구,광안동,부산광역시 수영구 광안동 193-1,부산 수영구 광안해변로 217,부산,국내,3성,143.0,200개 미만,관광호텔업,분류,35.1534266,129.1179962
251,프리미엄 브이관광호텔,부산광역시,수영구,광안동,부산광역시 수영구 광안동 199-5,부산 수영구 남천바다로33번길 51,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.1506603292259,129.115408156793
253,스타호텔,전라북도,부안군,변산면,전라북도 부안군 변산면 격포리 298-13,전북 부안군 변산면 채석강길 33,전라,국내,미등급,미분류,200개 이상,미분류,미분류,35.62727656777811,126.4699373643378
254,H-AVENUE 광안리점,부산광역시,수영구,민락동,부산광역시 수영구 민락동 181-223,부산 수영구 민락수변로 29,부산,국내,미등급,30.0,100개 미만,관광호텔,분류,35.1532343346657,129.1246564026219
255,호텔런더너 광안점,부산광역시,수영구,민락동,부산광역시 수영구 민락동 121-8,부산 수영구 민락본동로 12-4,부산,국내,2성,45.0,100개 미만,관광호텔업,분류,35.1576502102436,129.128747823893
256,호텔1,부산광역시,수영구,광안동,부산광역시 수영구 광안동 196-3,부산 수영구 광안해변로 203,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.152500377292,129.117373739145
257,베스트 루이스 해밀턴 호텔 광안점,부산광역시,수영구,민락동,부산광역시 수영구 민락동 181-205,부산 수영구 광안해변로 276,부산,국내,2성,50.0,100개 미만,관광호텔업,분류,35.1556140779393,129.123999595363
258,더포인트호텔 광안리점,부산광역시,수영구,민락동,부산광역시 수영구 민락동 181-154,부산 수영구 광안해변로278번길 42,부산,국내,2성,45.0,100개 미만,관광호텔업,분류,35.15396298549015,129.1245239353941
259,호텔 센트럴베이,부산광역시,수영구,광안동,부산광역시 수영구 광안동 197-2,부산 수영구 광안해변로 189,부산,국내,3성,134.0,200개 미만,관광호텔업,분류,35.1514913755992,129.116491110591
260,브라운도트호텔 수영점,부산광역시,수영구,민락동,부산광역시 수영구 민락동 181-154,부산 수영구 광안해변로278번길 42,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.15396298549015,129.1245239353941
261,오션투헤븐,부산광역시,수영구,민락동,부산광역시 수영구 민락동 181-154,부산 수영구 광안해변로278번길 42,부산,국내,2성,26.0,100개 미만,관광호텔업,분류,35.15396298549015,129.1245239353941
262,제이스테이,서울특별시,송파구,문정동,서울특별시 송파구 문정동 74-3,서울 송파구 충민로 81-9,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.4799868755823,127.126115532751
263,벡스코호스텔,부산광역시,수영구,민락동,부산광역시 수영구 민락동 181-212,부산 수영구 광안해변로284번길 43,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.15402929598022,129.1255724234227
264,호텔미라주,부산광역시,수영구,광안동,부산광역시 수영구 광안동 203-4,부산 수영구 남천바다로33번길 15,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.1491940552423,129.114330071994
265,피코블루,부산광역시,수영구,민락동,부산광역시 수영구 민락동 178-15,부산 수영구 광안해변로 247-1,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.1550975736315,129.120974210235
266,오션스테이호텔,부산광역시,수영구,민락동,부산광역시 수영구 민락동 181-154,부산 수영구 광안해변로278번길 42,부산,국내,미등급,14.0,100개 미만,숙박업(생활),분류,35.1539704411162,129.124515022228
267,라움103,부산광역시,수영구,민락동,부산광역시 수영구 민락동 110-51,부산 수영구 민락수변로 103,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.1546584044725,129.131821138688
268,호텔 G&G,제주시,-,삼도1동,제주 제주시 삼도1동 710-8,제주특별자치도 제주시 남성로 117,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.50901154641355,126.5179551481986
269,베이하운드호텔,부산광역시,영도구,대교동,부산광역시 영도구 대교동 1가 68-1,부산 영도구 태종로65번길 11,부산,국내,2성,69.0,100개 미만,관광호텔업,분류,35.09312923499643,129.0384413060443
270,이데아(IDEA)관광호텔,부산광역시,남구,대연동,부산광역시 남구 대연동 889-4,부산 남구 유엔평화로 35,부산,국내,1성,52.0,100개 미만,관광호텔업,분류,35.1319010873651,129.092417755834
271,지앤지(G&G)관광호텔 부산 대연동,부산광역시,남구,대연동,부산광역시 남구 대연동 1751-16,부산 남구 유엔평화로4번길 34,부산,국내,2성,41.0,100개 미만,관광호텔업,분류,35.13456129623703,129.0899649766219
272,부산비치관광호텔,부산광역시,서구,남부민동,부산광역시 서구 남부민동 523-44,부산 서구 등대로 113,부산,국내,2성,35.0,100개 미만,관광호텔업,분류,35.0849730804851,129.026228091845
274,동부산관광호텔,부산광역시,기장군,장안읍,부산광역시 기장군 장안읍 기룡리 454-3,부산 기장군 장안읍 장안로 38,부산,국내,2성,61.0,100개 미만,관광호텔업,분류,35.34334012089221,129.2531863503889
276,하운드호텔 기장일광점,부산광역시,기장군,일광면,부산광역시 기장군 일광면 삼성리 890-4,부산 기장군 일광면 해송3로 2,부산,국내,2성,55.0,100개 미만,관광호텔업,분류,35.26552780771714,129.2305402039588
277,브라운도트 호텔 정관,부산광역시,기장군,정관읍,부산광역시 기장군 정관읍 달산리 1049-5,부산 기장군 정관읍 산단1로 98-31,부산,국내,1성,41.0,100개 미만,관광호텔업,분류,35.31608054793878,129.181743550099
278,타이드어웨이풀빌라,부산광역시,기장군,기장읍,부산광역시 기장군 기장읍 시랑리 615-5,부산 기장군 기장읍 기장해안로 26,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.1821626387263,129.208563854485
279,테라스,서울특별시,서대문구,북아현동,서울특별시 서대문구 북아현동 135-9,서울 서대문구 북아현로 2,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.5577090068771,126.956399778584
280,브라운도트호텔 덕천점,부산광역시,북구,덕천동,부산광역시 북구 덕천동 399-17,부산 북구 금곡대로8번길 20,부산,국내,2성,47.0,100개 미만,관광호텔업,분류,35.2108236,129.0063034
281,브라운도트호텔 만덕점,부산광역시,북구,만덕동,부산광역시 북구 만덕동 73-17,부산 북구 만덕고개길 70,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.21165946208524,129.0467329674325
282,호텔파라곤,부산광역시,사상구,괘법동,부산광역시 사상구 괘법동 564-25,부산 사상구 광장로 46,부산,국내,3성,132.0,200개 미만,관광호텔업,분류,35.1619314488622,128.981394542107
284,부산관광호텔,부산광역시,중구,동광동,부산광역시 중구 동광동 2가 12-1,부산 중구 광복로97번길 23,부산,국내,3성,275.0,200개 이상,관광호텔업,분류,35.1004596412998,129.034591650115
286,호텔노아,부산광역시,중구,남포동,부산광역시 중구 남포동 5가 81-1,부산 중구 자갈치로47번길 3-1,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.09747316552994,129.0292961160674
287,토요코인부산역Ⅱ,부산광역시,중구,대창동,부산광역시 중구 대창동 1가 22-4,부산 중구 중앙대로 125,부산,국내,2성,491.0,200개 이상,관광호텔업,분류,35.10898860543974,129.0366418991058
289,넘버25호텔 대청점,부산광역시,중구,대청동,부산광역시 중구 대청동 2가 7-1,부산 중구 대청로 107,부산,국내,미등급,60.0,100개 미만,관광호텔,분류,35.1031370005739,129.031665870528
290,반달호텔,부산광역시,중구,중앙동,부산광역시 중구 중앙동 4가 52-8,부산 중구 해관로 79-1,부산,국내,1성,28.0,100개 미만,소형호텔업,분류,35.10604484309833,129.035171552613
291,브로시스 호텔,부산광역시,중구,남포동,부산광역시 중구 남포동 4가 5-3,부산 중구 구덕로48번길 4,부산,국내,미등급,48.0,100개 미만,관광호텔,분류,35.0985954702571,129.030889759366
292,브라운도트관광호텔 하단,부산광역시,사하구,하단동,부산광역시 사하구 하단동 512-4,부산 사하구 낙동남로1423번길 47,부산,국내,2성,51.0,100개 미만,관광호텔업,분류,35.10834705036959,128.9659160266656
293,레이어스호텔,부산광역시,사하구,하단동,부산광역시 사하구 하단동 525-4,부산 사하구 낙동남로 1395,부산,국내,미등급,350.0,200개 이상,관광호텔,분류,35.1065740769819,128.964358652386
294,브라운도트 사직야구장점,부산광역시,동래구,사직동,부산광역시 동래구 사직동 91-44,부산 동래구 사직북로13번길 11,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.1966857216727,129.060125002259
295,호텔일루아,부산광역시,해운대구,중동,부산광역시 해운대구 중동 1509-3,부산 해운대구 달맞이길 97,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.15892646270841,129.1744834558073
296,리베로호텔 (구 호텔리베라해운대),부산광역시,해운대구,중동,부산광역시 해운대구 중동 1380-14,부산 해운대구 구남로29번길 21,부산,국내,2성,91.0,100개 미만,관광호텔업,분류,35.1624316770729,129.161307765751
297,인더스트리호텔,부산광역시,해운대구,우동,부산광역시 해운대구 우동 542-28,부산 해운대구 구남로24번길 16,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.1615890522839,129.159340997158
298,제이비디자인호텔,부산광역시,해운대구,우동,부산광역시 해운대구 우동 637-13,부산 해운대구 구남로12번길 31,부산,국내,2성,80.0,100개 미만,관광호텔업,분류,35.1620168,129.1582857
300,올라호텔,부산광역시,해운대구,송정동,부산광역시 해운대구 송정동 437-9,부산 해운대구 송정광어골로 49,부산,국내,2성,42.0,100개 미만,관광호텔업,분류,35.1768652771792,129.196804296611
301,파라다이스호텔부산,부산광역시,해운대구,중동,부산광역시 해운대구 중동 1408-5,부산 해운대구 해운대해변로 296,부산,국내,5성,532.0,200개 이상,관광호텔업,분류,35.1601194355049,129.165237485311
302,파크하얏트부산,부산광역시,해운대구,우동,부산광역시 해운대구 우동 1409-3,부산 해운대구 마린시티1로 51,부산,국내,5성,269.0,200개 이상,관광호텔업,분류,35.1564814586507,129.14178361771
